 x_m, y_m, vx_mps
-0.2493498,0.2537118,7.9999982
0.2436759,0.192692,7.9999993
0.7359418,0.1259546,7.9999993
1.2276577,0.0553772,7.9999993
1.7191759,-0.0164936,7.9999993
2.2109349,-0.0865978,7.9999993
2.7033999,-0.1514043,7.9999993
3.1969248,-0.2071727,7.9999994
3.6914301,-0.2509392,7.9999996
4.1875921,-0.2797841,7.9501861
4.6853679,-0.2867657,7.6778805
5.182564,-0.2625272,7.2319497
5.675855,-0.1982923,6.8419894
6.1601827,-0.0853953,6.4902785
6.6281758,0.0834982,6.1542034
7.0697087,0.3117149,5.8073215
7.469759,0.5994265,5.4157453
7.8196994,0.9478263,5.0521474
8.1114852,1.350699,5.0274787
8.3376188,1.7916437,5.120927
8.5037442,2.2598378,5.2637093
8.6198899,2.7434622,5.4676723
8.6978337,3.2337139,5.7470998
8.7491401,3.727313,6.0983731
8.7833787,4.2231012,6.4977821
8.8029508,4.7205899,6.9171022
8.8062414,5.2186225,7.3211733
8.7889951,5.7157184,7.4852172
8.743926,6.2102929,7.0950683
8.6624022,6.6997518,6.5775677
8.5358313,7.1799507,6.1129724
8.3554336,7.6429001,5.6694832
8.1119941,8.0738443,5.1985481
7.8008889,8.4578019,4.7188627
7.4236343,8.7791502,4.5915136
6.9935398,9.0273446,4.7027977
6.5278828,9.1998452,4.8374596
6.0423506,9.3044752,5.0260034
5.5483416,9.3560759,5.2831573
5.0518731,9.3701284,5.6173423
4.5551269,9.3582605,6.0252718
4.05888,9.3277093,6.4947773
3.5635589,9.283644,7.0142613
3.0691919,9.2298416,7.5765803
2.5756587,9.1697299,7.9999989
2.0827618,9.1062748,7.9999994
1.590413,9.0406345,7.9999993
1.0983431,8.9746206,7.9999993
0.6055926,8.9099404,7.9999993
0.1125132,8.8484029,7.9999993
-0.3810122,8.7914524,7.9999993
-0.8751025,8.7401414,7.9999993
-1.3697947,8.6951272,7.9999993
-1.8650593,8.6567075,7.9999993
-2.3608281,8.624904,7.9999993
-2.8569711,8.5993753,7.9999993
-3.3533567,8.5799334,7.9999993
-3.8499247,8.5664419,7.9999993
-4.3466281,8.5588813,7.9999993
-4.84343,8.5574193,7.9999994
-5.3402963,8.5624172,7.9999994
-5.8370655,8.5745,7.9999994
-6.3331064,8.594778,7.9999994
-6.8288228,8.6241093,7.9999994
-7.3242652,8.661717,7.9999994
-7.8192929,8.7065543,7.9999994
-8.3138519,8.7576227,7.9999993
-8.8078786,8.8136811,7.9999993
-9.3014248,8.8730459,7.9999993
-9.7946717,8.9334966,7.9999992
-10.2879461,8.9921008,7.9999991
-10.7817002,9.0452304,7.9999991
-11.2764045,9.0880671,7.9839503
-11.7724563,9.1119603,7.4152289
-12.2692422,9.1073388,6.7404795
-12.7641773,9.0626514,6.1645623
-13.2511615,8.9641465,5.6485503
-13.7191821,8.7985872,5.1267483
-14.1501262,8.553792,4.5811735
-14.5197923,8.2245631,4.2556233
-14.8121949,7.8251148,4.223803
-15.0229116,7.3764338,4.3868144
-15.1580003,6.8986136,4.6273753
-15.2384161,6.4086835,4.9343949
-15.2844323,5.9144173,5.3216783
-15.3105594,5.4184688,5.7847
-15.3282775,4.9214376,6.3005745
-15.3403225,4.4233106,6.8397996
-15.3440153,3.9251882,7.3636593
-15.333883,3.4282908,7.6682614
-15.3004667,2.9337067,6.9493519
-15.2342738,2.4405145,6.3377641
-15.1251709,1.955664,5.7981623
-14.9620546,1.4879324,5.2819592
-14.7285319,1.0501875,4.7260934
-14.4180881,0.6665506,4.3503748
-14.0373212,0.3492048,4.2021819
-13.5998003,0.1141185,4.2415415
-13.1259253,-0.0348407,4.4222666
-12.6351244,-0.1119775,4.6693748
-12.1388596,-0.1376414,4.9964928
-11.642071,-0.1300717,5.4186198
-11.1460775,-0.1012394,5.9247401
-10.6510011,-0.0583058,6.4956072
-10.1567272,-0.0064062,7.1165575
-9.6629737,0.0507117,7.723945
-9.1693659,0.1092162,7.9999993
-8.6756261,0.1665105,7.9999993
-8.1816004,0.2211096,7.9999993
-7.6872557,0.2711308,7.9999993
-7.1925201,0.3155071,7.9999993
-6.697286,0.3540269,7.9999993
-6.2016032,0.3864903,7.9999993
-5.7055466,0.4128608,7.9999993
-5.2091963,0.4333186,7.9999993
-4.7126251,0.447814,7.9999993
-4.2159037,0.4561627,7.9999993
-3.7191095,0.4580742,7.9999993
-3.2223324,0.4531292,7.9999994
-2.7256852,0.4406358,7.9999994
-2.2293018,0.4201321,7.9999994
-1.7333328,0.3912388,7.9999994
-1.2379342,0.3537406,7.9999994
-0.7432444,0.3077266,7.9999994
-0.2493498,0.2537118,7.9999982
