# 5c816770-0c49-4b6f-9401-27f820a76189
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -0.2495914; 0.2321561; -1.6567141; -0.0264909; 7.9999982; 0.0000180
0.4975978; 0.2458559; 0.1862586; -1.6694932; -0.0248573; 7.9999993; 0.0000002
0.9951956; 0.7406891; 0.1343505; -1.6807614; -0.0204012; 7.9999993; -0.0000002
1.4927935; 1.2349620; 0.0775323; -1.6891193; -0.0131184; 7.9999993; -0.0000004
1.9903913; 1.7288482; 0.0175958; -1.6931420; -0.0028995; 7.9999993; -0.0000006
2.4879891; 2.2226369; -0.0429895; -1.6915937; 0.0092741; 7.9999993; -0.0000007
2.9855869; 2.7166875; -0.1012543; -1.6836312; 0.0229172; 7.9999992; 0.0000004
3.4831847; 3.2113347; -0.1539229; -1.6691228; 0.0350289; 7.9999992; 0.0000024
3.9807826; 3.7066499; -0.1980355; -1.6495184; 0.0426659; 7.9999994; -0.0430545
4.4783804; 4.2034126; -0.2312948; -1.6230297; 0.0735811; 7.9973210; -4.6128838
4.9759782; 4.7018191; -0.2463028; -1.5754337; 0.1139697; 7.7049608; -7.9360001
5.4735760; 5.2002182; -0.2329073; -1.5093257; 0.1509083; 7.1741584; -6.4322639
5.9711738; 5.6958795; -0.1819225; -1.4237866; 0.1916408; 6.7132099; -5.3489385
6.4687717; 6.1842309; -0.0836993; -1.3170827; 0.2335256; 6.3042800; -4.7321125
6.9663695; 6.6578830; 0.0705727; -1.1916080; 0.2681355; 5.9190007; -4.5400798
7.4639673; 7.1059208; 0.2861262; -1.0492531; 0.3171735; 5.5241562; -4.7962162
7.9615651; 7.5116814; 0.5673128; -0.8753007; 0.3735811; 5.0737686; -4.0796094
8.4591630; 7.8609262; 0.9179250; -0.6907816; 0.3757622; 4.6565136; -0.4097037
8.9567608; 8.1421907; 1.3290800; -0.5124546; 0.3376390; 4.6125246; 1.3645775
9.4543586; 8.3509891; 1.7792797; -0.3610505; 0.2747338; 4.7574578; 1.9170809
9.9519564; 8.4976480; 2.2546145; -0.2434019; 0.2022817; 4.9539152; 2.6918043
10.4495542; 8.5959219; 2.7429178; -0.1589232; 0.1403393; 5.2172931; 3.7790611
10.9471521; 8.6596589; 3.2359007; -0.1024509; 0.0892516; 5.5660626; 4.9857521
